Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
KT5,S1,KT5_S1,36.41
KT5,S2,KT5_S2,143.639
KT6,S6 (2),KT6_S6 (2),78.082
KT6,S7,KT6_S7,137.53
KT6,S1(1),KT6_S1(1),153.959
KT6,S1(2),KT6_S1(2),87.5
KT6,S2(1),KT6_S2(1),209.986
KT6,S2(2),KT6_S2(2),216.325
KT6,S2(3),KT6_S2(3),31.413
KT6,S3,KT6_S3,38.201
KT6,S4,KT6_S4,35.528
KT6,S5(1),KT6_S5(1),59.664
KT6,S5(2),KT6_S5(2),66.902
KT6,S5(3),KT6_S5(3),49.256
KT6,S6(1),KT6_S6(1),76.615
KT7,S1,KT7_S1,210.701
KT7,S1,KT7_S1,171.664
KT7,S2,KT7_S2,241.826
KT7,S3,KT7_S3,46.584
KT8,S1,KT8_S1,133.494
KT8,S2(1),KT8_S2(1),44.981
KT8,S2(2),KT8_S2(2),55.928
KT8,S3,KT8_S3,173.385
KT8,S4,KT8_S4,65.488
KT9,S1,KT9_S1,60.178
KT9,S1(2),KT9_S1(2),30.821
KT9,S2,KT9_S2,21.356
KT9,S3,KT9_S3,126.465
KT9,S4(1),KT9_S4(1),59.646
KT9,S4(2),KT9_S4(2),100.221
KT9,S4(3),KT9_S4(3),33.661
KT9,S4(4),KT9_S4(4),47.128
KT9,S4(5),KT9_S4(5),46.937
KT9,S4(6),KT9_S4(6),70.57
KT9,S5,KT9_S5,138.374
KT10,S1(1),KT10_S1(1),247.089
KT10,S1(2),KT10_S1(2),196.366
KT10,S1(3),KT10_S1(3),102.738
KT10,S2(1),KT10_S2(1),190.264
KT10,S2(2),KT10_S2(2),63.267
KT10,S3(1),KT10_S3(1),73.794
KT10,S3(2),KT10_S3(2),42.463
KT10,S4,KT10_S4,39.827
KT4,S1,KT4_S1,66.531
KT4,S1(2),KT4_S1(2),138.579
KT4,S2,KT4_S2,152.525
KT4,S3,KT4_S3,141.608
KT4,S4,KT4_S4,66.447
KT22,S1,KT22_S1,221.211
KT22,S2,KT22_S2,359.512
KT22,S3,KT22_S3,20.091
KT23,S1,KT23_S1,296.026
KT23,S2,KT23_S2,172.568
KT24,S1,KT24_S1,322.636
KT25,S1,KT25_S1,134.501
KT25,S2,KT25_S2,125.304
KT28,S1,KT28_S1,139.066
KT29,S1,KT29_S1,438.07
