Plot ID,IMAGE ID,Canopy,Trans Dir,Trans Dif
DG1,5245,10.33,2.6,2.43
DG10,5267,11.54,2.14,2.38
DG11,5268,10.24,1.59,1.98
DG12,5270,11.39,1.69,2.45
DG13,5266,12.23,3,2.48
DG14,5262,10.65,2.7,2.24
DG15,5264,13.23,3.93,2.82
DG16,5255,12.15,2.39,2.56
DG17,5256,16.45,4.6,3.36
DG18,5263,17.17,3.4,3.49
DG19,5261,11.44,2.57,2.59
DG2,5246,10.38,1.4,2.42
DG20,5258,16.32,4.38,3.34
DG21,5257,12.05,2.42,2.53
DG22,5260,10.82,1.32,2.54
DG23,5259,15.31,2.88,3
DG3,5247,10.6,1.39,2.42
DG4,5249,13.73,2.2,2.83
DG5,5250,8.73,3.1,1.85
DG6,5248,12.61,4.21,2.66
DG7,5253,11.9,2.26,2.47
DG8,5252,13.81,2.36,3.12
DG9,5254,13.64,3.31,2.71
KDM1,5131,15.99,2.3,2.73
KDM10,5177,10.34,1.43,2
KDM11,5178,14.76,3.28,2.65
KDM12,5180,14.16,2.21,2.51
KDM13,NA,NA,NA,NA
KDM14,5181,3.42,0.47,0.63
KDM15,5176,8.89,2.37,1.66
KDM16,5173,11.54,1.57,2.52
KDM17,NA,NA,NA,NA
KDM18,5145,7.31,1.53,1.43
KDM19,5147,5.74,1.35,1.12
KDM2,5133,22.34,5.19,3.17
KDM20,5148,8.92,1.83,1.76
KDM21,5149,10.75,3.59,2.02
KDM22,5150,8.21,2.62,1.52
KDM23,5151,7.29,2.17,1.5
KDM24,5295,8.83,2.7,1.89
KDM25,5297,11.4,3.1,2.33
KDM26,5298,11.84,2.8,2.25
KDM27,5299,13.49,3.2,2.51
KDM28,5300,9.99,3.73,2.2
KDM29,5301,9.14,1.88,2.08
KDM3,5135,10.74,1.24,1.97
KDM30,5302,12.13,2.97,2.33
KDM31,5303,11.64,3.29,2.52
KDM32,5304,9.71,1.3,2.21
KDM33,5307,10.44,1.95,2
KDM34,5304,14.35,3.06,2.94
KDM35,5305,12.11,3.32,2.47
KDM36,5309,14.41,3.3,2.77
KDM37,5308,10.73,2.22,2.36
KDM38,5310,10.78,1.63,2.28
KDM39,5311,13.22,4.47,2.56
KDM4,5138,18.4,3.94,3.09
KDM40,5312,13.3,3.55,2.61
KDM41,5313,13.3,3.46,2.77
KDM42,5314,13.37,2.76,2.81
KDM43,5315,13.87,2.77,2.97
KDM44,5316,16.5,3.57,3.23
KDM45,5317,15.44,6.51,2.88
KDM5,5139,9.94,1.37,1.69
KDM6,5140,9.17,1.09,1.58
KDM7,5141,14.29,3.47,2.85
KDM8,5142,12.79,1.18,2.59
KDM9,5144,5.78,1.22,1.15
KT1,5098,17.12,3.88,2.95
KT10,5109,13.44,5.42,2.8
KT11,5110,12.73,3.71,2.5
KT12,5111,16.47,3.36,3.33
KT13,5112,10.87,1.74,2.26
KT14,5113,11.26,2.18,2.46
KT15,5114,14.57,3.48,2.9
KT16,5115,12.65,2.07,2.61
KT17,5118,10.73,2.89,2.3
KT18,5120,14.78,3.01,2.95
KT19,5121,12.85,2.67,2.53
KT2,5099,14,2.81,2.94
KT20,5122,12.51,1.91,2.62
KT21,5123,12.65,3.45,2.42
KT22,5191,14.54,3.57,2.53
KT23,5192,14.94,2.67,2.81
KT24,5194,13.54,2.16,2.43
KT25,5188,12.21,2.31,2.75
KT26,5189,14.38,3.44,2.98
KT27,5190,13.52,2.4,2.57
KT28,5195,13.95,3.74,2.82
KT29,5182,13.42,4.58,2.63
KT3,5101,12.53,2.26,2.52
KT30,5186,13.97,2.36,2.82
KT31,5183,12.11,4.1,2.46
KT32,5185,5.51,1.31,1.01
KT33,5184,13.3,2.71,2.65
KT34,5128,19.6,3.77,3.07
KT35,5125,17.63,3.36,2.93
KT36,5124,12.57,3.66,2.39
KT37,NA,NA,NA,NA
KT4,5103,13.69,2.99,3.09
KT5,5104,11.37,3.08,2.34
KT6,5105,11.79,3.81,2.16
KT7,5106,10.23,2.58,1.88
KT8,5107,14.4,3.45,2.93
KT9,5108,13.46,3.02,2.52
VG 12,5197,9.71,1.26,2.07
VG 13,5204,12.26,2.11,2.49
VG 15,5200,12.26,2.11,2.49
VG 16,5202,12.7,2.19,2.65
VG 17,5205,8.1,1.72,1.67
VG 2,5223,4.33,0.65,0.82
VG 20,5210,13.23,2.88,2.73
VG 23,5220,10.31,2.68,2.13
VG 3,5224,5.35,1.03,1.11
VG 31,5217,8.67,2.08,1.66
VG 4,5230,12.43,3.99,2.72
VG 5,5232,14.94,3.43,2.87
