Plot ID,S. no,Species,Leaf wet mass,Above ground mass,Stem mass,Root mass,Stem length,Root length,Root % lost,Species ID,Comments 02,Comments 01
KDM4,S1,S1,b,0.48,0.3,0.09,9.8,6,,PsyNig,,
KDM5,S5,S5,0.15,0.52,0.33,0.16,18,11.4,,uk,,
KDM5,S4(1),S4,0.2,1.03,0.8,0.09,26,11,,uk,,compound leaf
KDM5,S4(2),S4,0.08,0.89,0.73,1.06,19.4,12.2,,uk,,compound leaf
KDM5,S3,S3,0.67,3.72,1.65,1.11,24,11,,uk,,
KDM5,S1,S1,1.02,7.69,4.38,1.96,37.5,19.1,,Litsea,,
KDM5,S2,S2,NA,NA,NA,NA,NA,NA,,DimLon,,"Dimocarpus longan , dried"
EXTR1,S2(1),S2,0.43,2.5,1.7,4.2,19.5,32.5,,PsyNig,,
EXTR1,S2(2),S2,0.48,2.39,0.74,0.75,12,14,,PsyNig,,
EXTR1,S6,S6,0.28,0.81,0.17,0.28,9.4,11,,uk,,
EXTR1,S1(1),S1,0.1,0.46,0.17,0.4,7,12.5,,SymRac,,
EXTR1,S2(3),S2,0.22,1.11,0.53,0.21,10,9.5,,PsyNig,,
EXTR1,S9,S9,0.23,0.93,0.42,0.23,13,7,,uk,,
EXTR1,S5,S5,0.14,0.4,0.22,0.1,12.5,8,,uk,,Herbivored
EXTR1,S2(4),S2,2.63,11.38,3.05,1.37,22.5,16,,PsyNig,,
EXTR1,S8,S8,0.45,3.05,2.18,1.02,18.5,20,,Garcinia,,
EXTR1,S11,S1,NA,1.61,0.96,0.59,14.5,10.5,,uk,,
EXTR1,S3(1),S3,0.92,3.71,1.71,2.93,16.5,24,,uk(Litsea),,
EXTR1,S4,S4,0.34,1.45,1.07,0.57,15.5,6.5,,uk(aglia),,
EXTR1,S1(2),S1,0.16,1.03,0.37,0.36,11.5,10,,SymRac,,
EXTR1,S7,S7,0.32,0.79,0.21,0.49,12,27.5,,Cin,,
EXTR1,S12,S1,0.92,6.82,2.16,5.62,25,24,,PsyMac,,
EXTR1,S2(5),S2,2.12,10.4,3.03,2.06,23,22.5,,PsyNig,,
KDM41,S1,S1,0.32,1,0.36,0.22,14.5,6.5,,uk,,serated
KDM41,S9,S9,0.93,2.7,1.53,1.2,26.5,14,,uk,,"glaucous,alternate"
KDM41,S5,S5,0.46,2.14,1.49,2.96,22,27,,SymRac,,
KDM41,S13,S1,0.63,3.88,1.88,1.83,38,19,,Cin,,
KDM41,S6,S6,1.01,5.95,3.97,3.26,38,25,,uk(blachia),,
KDM41,S14,S1,0.75,3.91,3.06,2.09,29,12,,ActBou,,
KDM41,S10,S1,1.77,9.36,4.24,2.82,25,11,,PsyNig,,sr- High
KDM41,S13(2),S1,0.59,3.63,2.1,4.72,30.5,27.5,,Cin,,dry and herbivored/diseased
KDM41,S4,S4,1.91,7.21,2.73,1.67,16,17,,PsyMac,,
KDM41,S5(2),S5,0.35,2.84,1.65,2.19,17.5,17.5,,SymRac,,sr - Med
KDM41,S5(3),S5,0.23,0.89,0.62,0.23,11,11,,SymRac,,sr - Med
KDM41,S10(2),S1,1.1,4.52,1.16,1.24,11.5,13,,PsyNig,,
KDM41,S12,S1,0.1,1.12,0.92,4.58,11,15.5,,uk(Syz),,
KDM41,S2,S2,0.31,1.24,0.73,0.34,16.5,7,,uk,,alternate
KDM41,S16,S1,0.44,1.82,0.84,0.84,18,14.5,,ReiAna,,
KDM41,S16(2),S1,0.32,1.01,0.46,0.5,16,14.5,,ReiAna,,
